Date	Paris Austerlitz
16/01/2015 12:00	2.34
16/01/2015 11:00	2.35
16/01/2015 10:00	2.34
16/01/2015 09:00	2.29
16/01/2015 08:00	2.29
16/01/2015 07:00	2.3
16/01/2015 06:00	2.29
16/01/2015 05:00	2.29
16/01/2015 04:00	2.28
16/01/2015 03:00	2.27
16/01/2015 02:00	2.26
16/01/2015 01:00	2.26
16/01/2015 00:00	2.24
15/01/2015 23:00	2.23
15/01/2015 22:00	2.22
15/01/2015 21:00	2.21
15/01/2015 20:00	2.19
15/01/2015 19:00	2.17
15/01/2015 18:00	2.17
15/01/2015 17:00	2.17
15/01/2015 16:00	2.16
15/01/2015 15:00	2.16
15/01/2015 14:00	2.16
15/01/2015 13:00	2.15
15/01/2015 12:00	2.14
15/01/2015 11:00	2.13
15/01/2015 10:00	2.12
15/01/2015 09:00	2.12
15/01/2015 08:00	2.12
15/01/2015 07:00	2.11
15/01/2015 06:00	2.11
15/01/2015 05:00	2.1
15/01/2015 04:00	2.09
15/01/2015 03:00	2.08
15/01/2015 02:00	2.07
15/01/2015 01:00	2.06
15/01/2015 00:00	2.04
14/01/2015 23:00	2.04
14/01/2015 22:00	2.04
14/01/2015 21:00	2.04
14/01/2015 20:00	2.03
14/01/2015 19:00	2.03
14/01/2015 18:00	2.04
14/01/2015 17:00	2.07
14/01/2015 16:00	2.09
14/01/2015 15:00	2.1
14/01/2015 14:00	2.1
14/01/2015 13:00	2.11
14/01/2015 12:00	2.11
14/01/2015 11:00	2.11
14/01/2015 10:00	2.11
14/01/2015 09:00	2.1
14/01/2015 08:00	2.1
14/01/2015 07:00	2.1
14/01/2015 06:00	2.1
14/01/2015 05:00	2.11
14/01/2015 04:00	2.11
14/01/2015 03:00	2.11
14/01/2015 02:00	2.11
14/01/2015 01:00	2.11
14/01/2015 00:00	2.11
13/01/2015 23:00	2.11
13/01/2015 22:00	2.12
13/01/2015 21:00	2.12
13/01/2015 20:00	2.12
13/01/2015 19:00	2.13
13/01/2015 18:00	2.14
13/01/2015 17:00	2.14
13/01/2015 16:00	2.15
13/01/2015 15:00	2.15
13/01/2015 14:00	2.16
13/01/2015 13:00	2.17
13/01/2015 12:00	2.16
13/01/2015 11:00	2.16
13/01/2015 10:00	2.15
13/01/2015 09:00	2.15
13/01/2015 08:00	2.16
13/01/2015 07:00	2.15
13/01/2015 06:00	2.15
13/01/2015 05:00	2.14
13/01/2015 04:00	2.14
13/01/2015 03:00	2.14
13/01/2015 02:00	2.14
13/01/2015 01:00	2.15
13/01/2015 00:00	2.15
12/01/2015 23:00	2.16
12/01/2015 22:00	2.17
12/01/2015 21:00	2.2
12/01/2015 20:00	2.22
12/01/2015 19:00	2.25
12/01/2015 18:00	2.29
12/01/2015 17:00	2.32
12/01/2015 16:00	2.34
12/01/2015 15:00	2.36
12/01/2015 14:00	2.36
12/01/2015 13:00	2.34
12/01/2015 12:00	2.29
12/01/2015 11:00	2.23
12/01/2015 10:00	2.18
12/01/2015 09:00	2.14
12/01/2015 08:00	2.07
12/01/2015 07:00	2.02
12/01/2015 06:00	2.01
12/01/2015 05:00	2.01
12/01/2015 04:00	2
12/01/2015 03:00	2
12/01/2015 02:00	2
12/01/2015 01:00	2
12/01/2015 00:00	1.99
11/01/2015 23:00	1.99
11/01/2015 22:00	1.99
11/01/2015 21:00	1.99
11/01/2015 20:00	1.99
11/01/2015 19:00	2
11/01/2015 18:00	2.01
11/01/2015 17:00	2.02
11/01/2015 16:00	2.01
11/01/2015 15:00	2.01
11/01/2015 14:00	2.01
11/01/2015 13:00	2.01
11/01/2015 12:00	2.01
11/01/2015 11:00	2.01
11/01/2015 10:00	1.98
11/01/2015 09:00	1.97
11/01/2015 08:00	1.97
11/01/2015 07:00	1.96
11/01/2015 06:00	1.96
11/01/2015 05:00	1.96
11/01/2015 04:00	1.95
11/01/2015 03:00	1.95
11/01/2015 02:00	1.95
11/01/2015 01:00	1.94
11/01/2015 00:00	1.94
10/01/2015 23:00	1.94
10/01/2015 22:00	1.93
10/01/2015 21:00	1.92
10/01/2015 20:00	1.91
10/01/2015 19:00	1.9
10/01/2015 18:00	1.89
10/01/2015 17:00	1.89
10/01/2015 16:00	1.89
10/01/2015 15:00	1.88
10/01/2015 14:00	1.88
10/01/2015 13:00	1.89
10/01/2015 12:00	1.9
10/01/2015 11:00	1.9
10/01/2015 10:00	1.9
10/01/2015 09:00	1.89
10/01/2015 08:00	1.88
10/01/2015 07:00	1.88
10/01/2015 06:00	1.88
10/01/2015 05:00	1.88
10/01/2015 04:00	1.88
10/01/2015 03:00	1.87
10/01/2015 02:00	1.87
10/01/2015 01:00	1.86
10/01/2015 00:00	1.86
09/01/2015 23:00	1.85
09/01/2015 22:00	1.85
09/01/2015 21:00	1.85
09/01/2015 20:00	1.85
09/01/2015 19:00	1.85
09/01/2015 18:00	1.85
09/01/2015 17:00	1.85
09/01/2015 16:00	1.85
09/01/2015 15:00	1.83
09/01/2015 14:00	1.83
09/01/2015 13:00	1.81
