Date;Paris Austerlitz;
16/01/2015 12:00;1421406000000;2.34
16/01/2015 11:00;1421402400000;2.35
16/01/2015 10:00;1421398800000;2.34
16/01/2015 09:00;1421395200000;2.29
16/01/2015 08:00;1421391600000;2.29
16/01/2015 07:00;1421388000000;2.3
16/01/2015 06:00;1421384400000;2.29
16/01/2015 05:00;1421380800000;2.29
16/01/2015 04:00;1421377200000;2.28
16/01/2015 03:00;1421373600000;2.27
16/01/2015 02:00;1421370000000;2.26
16/01/2015 01:00;1421366400000;2.26
16/01/2015 00:00;1421362800000;2.24
15/01/2015 23:00;1421359200000;2.23
15/01/2015 22:00;1421355600000;2.22
15/01/2015 21:00;1421352000000;2.21
15/01/2015 20:00;1421348400000;2.19
15/01/2015 19:00;1421344800000;2.17
15/01/2015 18:00;1421341200000;2.17
15/01/2015 17:00;1421337600000;2.17
15/01/2015 16:00;1421334000000;2.16
15/01/2015 15:00;1421330400000;2.16
15/01/2015 14:00;1421326800000;2.16
15/01/2015 13:00;1421323200000;2.15
15/01/2015 12:00;1421319600000;2.14
15/01/2015 11:00;1421316000000;2.13
15/01/2015 10:00;1421312400000;2.12
15/01/2015 09:00;1421308800000;2.12
15/01/2015 08:00;1421305200000;2.11
15/01/2015 07:00;1421301600000;2.11
15/01/2015 06:00;1421298000000;2.1
15/01/2015 05:00;1421294400000;2.09
15/01/2015 04:00;1421290800000;2.08
15/01/2015 03:00;1421287200000;2.07
15/01/2015 02:00;1421283600000;2.06
15/01/2015 01:00;1421280000000;2.04
15/01/2015 00:00;1421276400000;2.04
14/01/2015 23:00;1421272800000;2.04
14/01/2015 22:00;1421269200000;2.04
14/01/2015 21:00;1421265600000;2.04
14/01/2015 20:00;1421262000000;2.03
14/01/2015 19:00;1421258400000;2.03
14/01/2015 18:00;1421254800000;2.04
14/01/2015 17:00;1421251200000;2.07
14/01/2015 16:00;1421247600000;2.09
14/01/2015 15:00;1421244000000;2.1
14/01/2015 14:00;1421240400000;2.1
14/01/2015 13:00;1421236800000;2.11
14/01/2015 12:00;1421233200000;2.11
14/01/2015 11:00;1421229600000;2.11
14/01/2015 10:00;1421226000000;2.11
14/01/2015 09:00;1421222400000;2.1
14/01/2015 08:00;1421218800000;2.1
14/01/2015 07:00;1421215200000;2.1
14/01/2015 06:00;1421211600000;2.1
14/01/2015 05:00;1421208000000;2.11
14/01/2015 04:00;1421204400000;2.11
14/01/2015 03:00;1421200800000;2.11
14/01/2015 02:00;1421197200000;2.11
14/01/2015 01:00;1421193600000;2.11
14/01/2015 00:00;1421190000000;2.11
13/01/2015 23:00;1421186400000;2.12
13/01/2015 22:00;1421182800000;2.12
13/01/2015 21:00;1421179200000;2.12
13/01/2015 20:00;1421175600000;2.13
13/01/2015 19:00;1421172000000;2.14
13/01/2015 18:00;1421168400000;2.14
13/01/2015 17:00;1421164800000;2.15
13/01/2015 16:00;1421161200000;2.15
13/01/2015 15:00;1421157600000;2.16
13/01/2015 14:00;1421154000000;2.17
13/01/2015 13:00;1421150400000;2.16
13/01/2015 12:00;1421146800000;2.16
13/01/2015 11:00;1421143200000;2.15
13/01/2015 10:00;1421139600000;2.15
13/01/2015 09:00;1421136000000;2.16
13/01/2015 08:00;1421132400000;2.15
13/01/2015 07:00;1421128800000;2.15
13/01/2015 06:00;1421125200000;2.14
13/01/2015 05:00;1421121600000;2.14
13/01/2015 04:00;1421118000000;2.14
13/01/2015 03:00;1421114400000;2.14
13/01/2015 02:00;1421110800000;2.14
13/01/2015 01:00;1421107200000;2.15
13/01/2015 00:00;1421103600000;2.15
12/01/2015 23:00;1421100000000;2.16
12/01/2015 22:00;1421096400000;2.17
12/01/2015 21:00;1421092800000;2.2
12/01/2015 20:00;1421089200000;2.22
12/01/2015 19:00;1421085600000;2.25
12/01/2015 18:00;1421082000000;2.29
12/01/2015 17:00;1421078400000;2.32
12/01/2015 16:00;1421074800000;2.34
12/01/2015 15:00;1421071200000;2.36
12/01/2015 14:00;1421067600000;2.36
12/01/2015 13:00;1421064000000;2.34
12/01/2015 12:00;1421060400000;2.29
12/01/2015 11:00;1421056800000;2.23
12/01/2015 10:00;1421053200000;2.18
12/01/2015 09:00;1421049600000;2.14
12/01/2015 08:00;1421046000000;2.07
12/01/2015 07:00;1421042400000;2.02
12/01/2015 06:00;1421038800000;2.01
12/01/2015 05:00;1421035200000;2.01
12/01/2015 04:00;1421031600000;2
12/01/2015 03:00;1421028000000;2
12/01/2015 02:00;1421024400000;2
12/01/2015 01:00;1421020800000;2
12/01/2015 00:00;1421017200000;1.99
11/01/2015 23:00;1421013600000;1.99
11/01/2015 22:00;1421010000000;1.99
11/01/2015 21:00;1421006400000;1.99
11/01/2015 20:00;1421002800000;1.99
11/01/2015 19:00;1420999200000;2
11/01/2015 18:00;1420995600000;2.01
